手机编号,商品标题,价格,品牌,机身厚度,机身重量,屏幕尺寸,ROM内存,前置摄像头像素,后置摄像头像素,指纹识别,GPS定位,促销信息,总评论数,好评数,中评数,差评数
3280487,自营 锤子 M1（SM901）4GB+32GB 白色 全金属边框 全网通 双卡双待 移动联通电信4G手机,2499,锤子（smartisan）,8.22,146,5.15,32,400,2300,1,1,0,7896,7702,81,113
3710184,自营 锤子 M1L（SM919）4GB+32GB 咖啡金 全金属边框 全网通 双卡双待 移动联通电信4G手机,2799,锤子（smartisan）,8.22,146,5.15,32,400,2300,1,1,0,7896,7702,81,113
3710218,自营 锤子 M1L（SM919）6GB+64GB 白色 全金属边框 全网通 双卡双待 移动联通电信4G手机,2999,锤子（smartisan）,8.32,175,5.7,64,400,2300,1,1,0,7896,7702,81,113
3865060,自营 锤子M1L（SM919）6GB+64GB 不锈钢边框 全网通 双卡双待 全网通 双卡双待 移动联通电信4G手机,3299,锤子（smartisan）,8.32,195,5.7,64,400,2300,1,1,0,7896,7702,81,113
1312327,自营 飞利浦 E180 经典黑 移动联通2G手机 双卡双待,229,飞利浦（PHILIPS）,16.5,124,2.4,,,0,0,0,0,11846,11314,289,243
1364562,自营 飞利浦 E180 香槟金 移动联通2G手机 双卡双待,229,飞利浦（PHILIPS）,16.5,124,2.4,,,0,0,0,0,11846,11314,289,243
1500131,自营 飞利浦 E310 儒雅灰 移动联通2G手机 双卡双待,279,飞利浦（PHILIPS）,16,80,2.4,,,,0,0,0,1618,1516,62,40
1858981,自营 飞利浦 E380 夜光黑 移动联通2G手机 双卡双待,539,飞利浦（PHILIPS）,19.9,207.4,3.27,,0,200,0,0,0,2085,1954,68,63
1945514,自营 飞利浦 E103 陨石黑 移动联通2G手机 双卡双待,119,飞利浦（PHILIPS）,14.7,72.7,1.77,,,,0,0,0,40749,39128,1045,576
1984558,自营 飞利浦 V526 海军蓝 移动联通双4G手机 双卡双待,529,飞利浦（PHILIPS）,10,180,5,8,200,1300,0,1,0,957,851,47,59
2288950,自营 飞利浦 E330 陨石黑 移动联通2G手机 双卡双待,348,飞利浦（PHILIPS）,17.8,181.6,2.8,,0,,0,0,0,1708,1611,52,45
2532271,自营 飞利浦 E131X (珠峰白) 移动联通2G手机 双卡双待,138,飞利浦（PHILIPS）,62,60,2.4,,,,0,0,0,32,29,1,2
2897445,自营 飞利浦 E266W 陨石黑 移动联通双4G键盘智能老人机 双卡双待,299,飞利浦（PHILIPS）,13,90,3.5,4,,,0,1,1,715,652,32,31
3049292,自营 飞利浦 E220 硬朗黑 移动联通双2G手机 双卡双待,169,飞利浦（PHILIPS）,14.5,125,1.77,,,,0,0,0,1912,1833,50,29
3049302,自营 飞利浦 S226M 星际黑 移动4G手机 双卡双待,389,飞利浦（PHILIPS）,9,141.5,5,8,,,0,1,0,95,81,5,9
3102626,自营 飞利浦 V800 流沙金 移动联通双4G翻盖手机 双卡双待,1799,飞利浦（PHILIPS）,19.1,206,3.7,16,500,1300,0,1,1,107,97,6,4
3326786,自营 飞利浦 X586 皎月白 全网通 移动联通电信4G手机 双卡双待,998,飞利浦（PHILIPS）,8.9,160,5,16,500,1300,1,1,1,131,108,15,8
3486566,自营 飞利浦 X818 香槟金 全网通4G手机 双卡双待,1998,飞利浦（PHILIPS）,6.95,180,5.5,32,800,1600,1,1,1,203,183,9,11
3599935,自营 飞利浦 E105 陨石黑 移动联通2G手机 双卡双待,139,飞利浦（PHILIPS）,14,65,1.77,,,,0,0,0,119,113,5,1
3630009,自营 飞利浦 S653H 铂光金 全网通4G手机 双卡双待,1799,飞利浦（PHILIPS）,6.95,151,5.5,32,1300,1600,2,1,0,1,1,0,0
1592291,自营 华为 C8818 黑 电信4G手机,588,华为（HUAWEI）,8.8,162,5,8,500,1300,0,1,0,21964,20847,719,398
1617039,自营 华为 荣耀 畅玩4X 白色 移动4G手机 双卡双待,599,华为（HUAWEI）,8.85,170,5.5,8,500,1300,0,1,0,442124,429126,8042,4956
1684485,自营 荣耀7 (PLK-AL10) 3GB+64GB内存版 荣耀金 移动联通电信4G手机 双卡双待双通,1599,华为（HUAWEI）,8.5,157,5.2,64,800,2000,1,1,0,414634,402778,7048,4808
1748005,自营 华为 麦芒4 晨曦金 移动联通电信4G手机 双卡双待,1699,华为（HUAWEI）,7.5,167,5.5,32,500,1300,1,1,0,60233,57927,1351,955
1779676,自营 华为（HUAWEI）9V/5V2A快充/电源适配器/带线充电器/充电头 华为快充适用于非Type-C接口的安卓手机平板 白色,65,华为（HUAWEI）, , , , , , , , ,0,150909,146968,2426,1515
2035589,自营 华为 G7 Plus 香槟银 移动4G手机 双卡双待,1099,华为（HUAWEI）,7.5,167,5.5,16,500,1300,1,1,0,18074,17261,455,358
2174898,自营 华为 Mate 8 3GB+32GB版 月光银 移动联通电信4G手机 双卡双待,2799,华为（HUAWEI）,7.9,185,6,32,800,1600,1,1,1,58717,57638,602,477
