手机编号,商品标题,价格,品牌,屏幕尺寸,前置摄像头像素,后置摄像头像素,指纹识别,GPS定位,促销信息,总评论数,好评数,中评数,差评数,X,avg_words,速度,物流,送货,包装,客服,售后,发票,电池,系统,性价比,质量,外观,功能,运行,充电,声音,屏幕,耳机,信号,开机,软件
3304425,自营 金立 大金钢GN5003 爵士金 移动联通电信4G手机 双卡双待,1499,金立（Gionee）,5.3,500,1300,0,1,1,6164,5763,247,154,3304425,20.5210772833724,0.0351288056206089,0.0503512880562061,0.0187353629976581,0.0152224824355972,0.0105386416861827,0.00702576112412178,0.00702576112412178,0.094847775175644,0.0128805620608899,0.0117096018735363,0.0573770491803279,0.00585480093676815,0.00702576112412178,0.0117096018735363,0.0128805620608899,0.0163934426229508,0.0175644028103044,0.022248243559719,0.0128805620608899,0.00351288056206089,0.00468384074941452
3330037,自营 金立 F100S 雪金白 移动联通电信4G手机 双卡双待,798,金立（Gionee）,5,200,500,0,1,1,2811,2614,118,79,3330037,17.1580188679245,0.044811320754717,0.0424528301886792,0.00943396226415094,0.00235849056603774,0.0117924528301887,0.00471698113207547,0.00707547169811321,0.0141509433962264,0.00943396226415094,0.0259433962264151,0.0542452830188679,0.0283018867924528,0.0141509433962264,0.00943396226415094,0.00707547169811321,0.00943396226415094,0.0117924528301887,0.00471698113207547,0.00707547169811321,0.00471698113207547,0.00471698113207547
3330077,自营 金立 F100S 韵银白 移动联通电信4G手机 双卡双待,798,金立（Gionee）,5,200,500,0,1,1,2811,2614,118,79,3330077,16.7338129496403,0.0431654676258993,0.0383693045563549,0.00959232613908873,0.00239808153477218,0.0119904076738609,0.00479616306954436,0.00719424460431655,0.0143884892086331,0.00959232613908873,0.0239808153477218,0.052757793764988,0.026378896882494,0.0143884892086331,0.00959232613908873,0.00719424460431655,0.00959232613908873,0.0119904076738609,0.00479616306954436,0.00719424460431655,0.00479616306954436,0.00479616306954436
2179047,自营 酷派 锋尚MAX A8-930 尊爵金 移动联通电信4G手机 双卡双待,1099,酷派（Coolpad）,5.5,500,1300,1,1,1,2541,2436,62,43,2179047,23.7080491132333,0.0682128240109141,0.0300136425648022,0.0204638472032742,0.0422919508867667,0.00545702592087312,0.00136425648021828,0.00682128240109141,0.0272851296043656,0.0668485675306958,0.0245566166439291,0.0422919508867667,0.053206002728513,0.00545702592087312,0.00954979536152797,0.0327421555252387,0.00954979536152797,0.0245566166439291,0.00272851296043656,0.00818553888130969,0.00272851296043656,0.0109140518417462
2495166,自营 酷派 锋尚mini Y72-921 臻彩金 移动联通电信4G手机 双卡双待,659,酷派（Coolpad）,5,500,800,0,1,0,600,552,29,19,2495166,18.277856135402,0.0423131170662905,0.0437235543018336,0.0197461212976023,0.00846262341325811,0.00705218617771509,0.00141043723554302,0.00282087447108604,0.0296191819464034,0.00846262341325811,0.0155148095909732,0.0564174894217207,0.0451339915373766,0.0112834978843441,0.0155148095909732,0.0112834978843441,0.00282087447108604,0.0183356840620592,0.00282087447108604,0.0197461212976023,0.00141043723554302,0
3397564,自营 酷派 cool1 dual 桀骜银 3+32GB版 移动联通电信4G手机 双卡双待,1099,酷派（Coolpad）,5.5,800,1300,1,1,1,20995,19703,793,499,3397564,35.4279569892473,0.0548387096774194,0.0182795698924731,0.0118279569892473,0.0118279569892473,0.0268817204301075,0.0161290322580645,0.0032258064516129,0.0537634408602151,0.0688172043010753,0.102150537634409,0.0473118279569892,0.0279569892473118,0.0365591397849462,0.0419354838709677,0.0505376344086022,0.0225806451612903,0.0806451612903226,0.0139784946236559,0.0193548387096774,0.0043010752688172,0.0376344086021505
3454217,自营 酷派 锋尚V3（Y803-9）金色 移动联通电信4G手机（联通版） 双卡双待,849,酷派（Coolpad）,5.5,800,800,2,1,1,2315,2161,78,76,3454217,18.9249639249639,0.038961038961039,0.025974025974026,0.0216450216450216,0.0144300144300144,0.00432900432900433,0.00432900432900433,0.00577200577200577,0.0187590187590188,0.0115440115440115,0.0375180375180375,0.0360750360750361,0.0303030303030303,0.0187590187590188,0.012987012987013,0.00721500721500722,0.0115440115440115,0.0317460317460317,0.00577200577200577,0.00577200577200577,0.00288600288600289,0.00432900432900433
3626134,自营 酷派 B770S 锐志金 移动联通电信4G手机 双卡双待,659,酷派（Coolpad）,5.5,200,800,0,1,1,98,89,5,4,3626134,17.7678571428571,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0238095238095238,0.0119047619047619,0,0,0.0297619047619048,0.0119047619047619,0.0595238095238095,0,0.0476190476190476,0.0238095238095238,0,0.0357142857142857,0.0297619047619048,0.0535714285714286,0.0119047619047619,0,0,0
2712431,自营 乐视（Le）乐Max2（X820) 金色 移动联通电信4G 双卡双待,1599,乐视（Letv）,5.7,800,2100,1,1,1,27789,25722,1093,974,2712431,35.8483870967742,0.0741935483870968,0.0247311827956989,0.021505376344086,0.0118279569892473,0.032258064516129,0.0268817204301075,0.0032258064516129,0.043010752688172,0.0419354838709677,0.0612903225806452,0.0505376344086022,0.0182795698924731,0.021505376344086,0.0365591397849462,0.0763440860215054,0.00645161290322581,0.0462365591397849,0.021505376344086,0.0129032258064516,0.0225806451612903,0.0139784946236559
2839509,自营 乐视（Le）乐2Pro 32GB 金色 移动联通电信4G手机 双卡双待,1399,乐视（Letv）,5.5,800,2100,1,1,1,62731,58423,2347,1961,2839509,30,0.0483870967741935,0.0387096774193548,0.010752688172043,0.0118279569892473,0.0311827956989247,0.0290322580645161,0.0032258064516129,0.0419354838709677,0.0247311827956989,0.043010752688172,0.0462365591397849,0.0150537634408602,0.0172043010752688,0.0290322580645161,0.0688172043010753,0.0150537634408602,0.0268817204301075,0.0258064516129032,0.00967741935483871,0.0172043010752688,0.010752688172043
