证券代码,证券简称,GICS行业名称,证监会行业名称,省份,专利数量,研发人员占比(%),研发费用总额(元),研发费用总额-占资产比(%),研发费用总额-占营业收入比(%),研发费用总额-占营业总成本比(%),研发项目个数,营业收入增长率(%),营业总收入增长率(%),营业利润增长率(%),净资产收益率ROE(摊薄)(%),净资产收益率ROE(加权)(%),净资产收益率ROE(扣除)(%),总资产报酬率(ROA)(%),资产总计(元),资产负债率(%),Z指数,Q_2021,Q_2022,log_Q_2021,log_Q_2022,log_Asset,score
688208,道通科技,电子设备、仪器和元件,计算机、通信和其他电子设备制造业,广东,357,48.45,522579689.7,12.4382,23.19,26.1798,0,0.4284,0.4284,-0.1745,15.3464,16.274,15.3464,9.419,4201425560,31.9546,8.200854701,5.90595,3.089887,1.775960317,1.128134521,22.15868972,0.00174963
688233,神工股份,化学制品,非金属矿物制品业,辽宁,9,20.6,34971136.38,2.3485,7.38,14.7705,0,1.4669,1.4669,1.2562,15.4466,16.6368,15.4466,17.0299,1489085744,5.0305,1.040954095,2.578246,4.765432,0.947109323,1.561388194,21.12142817,0.000300628
688266,泽璟制药,制药,医药制造业,江苏,17,45.2,509394274.5,29.1756,267.59,72.8378,0,5.8819,5.8819,-0.5059,-37.6988,-32.0534,-37.6988,-26.3883,1745961587,28.2297,3.005813954,4.714339,3.623855,1.550608715,1.287538376,21.28057129,0.026180258
688268,华特气体,化学制品,化学原料和化学制品制造业,广东,8,10.34,47203024.99,2.6741,3.5,3.8801,0,0.3478,0.3478,0.2318,9.357,9.7409,9.357,8.5902,1765189344,21.4773,1.55027933,1.993672,1.978648,0.689978165,0.682413783,21.2915238,0.000425161
688286,敏芯股份,半导体产品与设备,计算机、通信和其他电子设备制造业,江苏,94,33.6,75618644.33,6.5067,21.5,20.6269,0,0.0657,0.0657,-0.9045,1.1272,1.148,1.1272,0.526,1162170525,5.0081,2.229490022,1.65189,2.12608,0.501920087,0.754279909,20.87355524,0.000410504
688288,鸿泉物联,软件,计算机、通信和其他电子设备制造业,浙江,51,66.21,113033179.1,10.1352,27.87,28.0195,0,-0.1109,-0.1109,-0.7978,3.2372,3.231,3.2372,1.7015,1115257517,17.731,3.559475807,2.23621,1.763107,0.804782469,0.567077594,20.83235117,0.000219852
688299,长阳科技,电子设备、仪器和元件,橡胶和塑料制品业,浙江,55,17.84,78471687.56,3.1559,6.05,7.1438,0,0.2408,0.2408,0.0415,9.3962,9.995,9.3962,8.1537,2486504620,20.053,4.41160221,3.068693,2.038677,1.121251738,0.712301068,21.63414379,0.011041732
688300,联瑞新材,化学制品,非金属矿物制品业,江苏,26,11.44,35056247.75,2.6865,5.61,7.8251,0,0.5455,0.5455,0.5918,15.8056,16.8024,15.8056,15.1489,1304902146,16.1846,1.152626363,2.750994,3.821729,1.011962301,1.340702938,20.98939389,0.000294118
688301,奕瑞科技,电子设备、仪器和元件,专用设备制造业,上海,38,32.49,145697200,4.1191,12.27,18.68,0,0.5143,0.5143,1.185,15.8588,17.0265,15.8588,15.8943,3537103476,13.0204,1.49680948,1.738277,4.549183,0.552894393,1.514947656,21.986574,0.035969782
688308,欧科亿,容器与包装,金属制品业,湖南,5,18.48,48980257.38,2.534,4.95,6.4325,0,0.4104,0.4104,1.0125,14.8695,15.8631,14.8695,13.2794,1932960340,22.6843,1.389230769,1.405047,2.325782,0.340070754,0.844056327,21.38231852,0.002065452
688311,盟升电子,通信设备,计算机、通信和其他电子设备制造业,四川,0,36.92,62549678.21,2.4881,13.15,18.7324,0,0.1242,0.1242,0.2433,7.5571,7.8539,7.5571,6.1891,2513966663,27.5692,3.967123288,1.618763,2.188788,0.481662277,0.783347966,21.64512769,0.000342053
688321,微芯生物,医疗保健设备与用品,医药制造业,广东,14,28.6,234347379.5,12.3705,54.44,53.0089,7,0.5974,0.5974,-0.3981,1.549,1.5084,1.549,1.2117,1894406024,25.1684,1.872759857,5.820104,3.780631,1.761318131,1.329890927,21.36217118,0.000154321
688330,宏力达,电气设备,电气机械和器材制造业,上海,27,20.07,59708410.73,1.5249,5.27,8.1702,0,0.246,0.246,0.299,12.3692,12.9774,12.3692,12.2377,3915497683,14.748,1.707663198,1.34038,2.071311,0.292953156,0.72818174,22.08820828,0.000273973
688339,亿华通,电气设备,电气机械和器材制造业,北京,198,31.4,164880780.8,4.5494,26.2,24.465,0,0.0997,0.0997,-4.873,-6.4701,-6.7794,-6.4701,-6.5104,3624255753,20.1801,4.742346939,2.052929,2.639979,0.719267554,0.970770963,22.01091479,0.003630363
688363,华熙生物,生物科技,医药制造业,山东,120,17.77,284338000,3.7893,5.75,6.8253,0,0.8793,0.8793,0.1962,13.7275,14.5975,13.7275,11.95,7503740223,24.0051,8.237099024,3.211932,2.403509,1.166872625,0.876929753,22.73866743,0.004154095
688366,昊海生科,生物科技,医药制造业,上海,12,16.6,167596908.6,2.4113,9.48,11.2996,0,0.3261,0.3261,0.4803,6.165,6.2876,6.165,5.5769,6950355416,12.8061,1.182413471,1.480954,1.515748,0.392686475,0.415909046,22.66205863,0.000302115
688368,晶丰明源,家庭耐用消费品,软件和信息技术服务业,上海,32,63.7,298911477.9,10.6654,12.98,18.0245,0,1.0875,1.0875,10.3675,35.5237,42.7945,35.5237,27.8716,2766435652,31.0681,1.095609356,2.501621,1.907808,0.916938922,0.645954939,21.74082556,0.000193903
688369,致远互联,软件,软件和信息技术服务业,北京,31,23.1,181102486.8,8.7488,17.56,19.4011,0,0.351,0.351,0.094,9.0036,9.3962,9.0036,6.8786,2070020133,30.1145,4.710794297,2.428667,2.246185,0.887342547,0.809233222,21.45082417,0.000305034
688388,嘉元科技,金属与采矿,计算机、通信和其他电子设备制造业,广东,58,16.92,146905282.9,2.424,5.24,6.593,0,1.3326,1.3326,1.9536,15.3164,17.7366,15.3164,11.7707,6060437734,40.4538,5.408,3.238098,3.130976,1.17498612,1.141344777,22.52504787,0.048082325
688389,普门科技,医疗保健设备与用品,专用设备制造业,广东,19,34.52,155807259.3,10.5671,20.02,25.6215,0,0.405,0.405,0.2978,15.1619,15.8729,15.1619,13.7749,1474453581,14.6835,3.582200247,3.401238,2.316467,1.224139483,0.84004318,21.1115533,0.004749557
688390,固德威,半导体产品与设备,电气机械和器材制造业,江苏,45,27.67,188465218.2,5.0735,7.04,7.9016,0,0.6853,0.6853,-0.0184,16.8809,17.9615,16.8809,7.9885,3714703328,54.8339,4.65015015,2.458527,5.733807,0.89956239,1.746379708,22.03556465,0.007420495
688396,华润微,半导体产品与设备,计算机、通信和其他电子设备制造业,境外,0,9.1,713225124.2,3.214,7.71,9.8895,0,0.3256,0.3256,1.1934,13.1171,16.2735,13.1171,10.7334,22191209564,21.1381,12.17184644,1.985523,1.777314,0.685882356,0.575103236,23.82296208,0.002848895
688408,中信博,电气设备,电气机械和器材制造业,江苏,110,14.27,120243519,2.3289,4.98,4.9286,0,-0.228,-0.228,-0.9959,0.616,0.6108,0.616,0.2227,5163200726,52.6898,6.038647343,1.967865,1.956186,0.676949199,0.670996659,22.36482252,0.000295529
688508,芯朋微,半导体产品与设备,软件和信息技术服务业,江苏,6,75.44,131737391.2,8.0601,17.49,22.1183,0,0.7544,0.7544,1.1061,13.2887,14.3476,13.2887,12.9819,1634436876,7.2871,4.574660634,2.090529,3.903428,0.737417144,1.361855141,21.21456416,0.001955049
688516,奥特维,机械制造,专用设备制造业,江苏,150,22.23,144850249.1,3.3825,7.08,8.8374,0,0.7893,0.7893,1.339,26.3348,29.6896,26.3348,10.0571,4282393361,66.654,1.1140625,1.33807,3.113398,0.291228277,1.135714734,22.17777789,0.001241894
688519,南亚新材,电子设备、仪器和元件,计算机、通信和其他电子设备制造业,上海,8,14.23,219828120.6,4.3425,5.23,5.79,9,0.9839,0.9839,1.9798,13.7991,14.5561,13.7991,9.0997,5062190404,42.834,9.672661871,1.211002,1.390859,0.191448116,0.329921542,22.34506511,0.000346021
688526,科前生物,制药,医药制造业,湖北,20,33.49,80002781.63,2.1475,7.25,17.666,0,0.3081,0.3081,0.2607,18.0988,19.4726,18.0988,17.7665,3725327663,15.3386,1.101116218,1.742338,1.570962,0.555227889,0.451688171,22.03842065,0.00021097
688529,豪森股份,机械制造,专用设备制造业,辽宁,11,14.64,82704996.8,2.7669,6.93,7.3591,5,0.1513,0.1513,-0.2143,6.3971,6.5518,6.3971,3.3886,2989083302,63.2039,1.420485175,1.21104,1.187678,0.191479495,0.17200014,21.81823259,0.000235849
688536,思瑞浦,半导体产品与设备,软件和信息技术服务业,江苏,28,69.62,300969068.3,8.7442,22.7,31.5844,0,1.3406,1.3406,1.4613,13.9668,15.4289,13.9668,12.9483,3441924736,7.7361,2.21291866,3.263749,7.962962,1.182876535,2.074801041,21.95929667,0.001378123
